iter	RMSE
0	14.7551076
1	14.39205062
2	14.03431933
3	13.68326151
4	13.37088626
5	13.09919242
6	12.78932169
7	12.52802651
8	12.24308363
9	11.95589085
10	11.70702689
11	11.46655071
12	11.22234476
13	11.00678234
14	10.75745639
15	10.54178363
16	10.32800927
17	10.13744514
18	9.945323796
19	9.764533488
20	9.603963942
21	9.431567367
22	9.258782899
23	9.101777206
24	8.951673105
25	8.794754467
26	8.664984807
27	8.530097025
28	8.408081603
29	8.281763702
30	8.164744638
31	8.034817403
32	7.930944796
33	7.826194049
34	7.73974205
35	7.651074194
36	7.551227473
37	7.462609832
38	7.375890818
39	7.296798749
40	7.213048142
41	7.141559048
42	7.063713839
43	6.98996797
44	6.916133341
45	6.84276224
46	6.778785574
47	6.718565927
48	6.654055776
49	6.599057935
50	6.543230794
51	6.488821457
52	6.44309869
53	6.395927863
54	6.348144238
55	6.294943379
56	6.246416524
57	6.201904009
58	6.155364678
59	6.111004681
60	6.068574793
61	6.039740617
62	6.004900963
63	5.975646514
64	5.939670003
65	5.903675982
66	5.870894041
67	5.837888074
68	5.819795297
69	5.788399934
70	5.766700908
71	5.739387486
72	5.709027896
73	5.682404732
74	5.656975491
75	5.631865003
76	5.609214007
77	5.588161835
78	5.567966695
79	5.547736727
80	5.527964811
81	5.51593344
82	5.496445399
83	5.480100706
84	5.462301853
85	5.446521507
86	5.433287337
87	5.420134041
88	5.409476463
89	5.402072356
90	5.38999275
91	5.376073991
92	5.361071719
93	5.349262479
94	5.33369525
95	5.325197654
96	5.31464527
97	5.298921052
98	5.289188709
99	5.274470174
100	5.262243228
101	5.251828832
102	5.23911341
103	5.229174436
104	5.21895714
105	5.208773497
106	5.197392522
107	5.188246991
108	5.176802037
109	5.169048222
110	5.16160114
111	5.153370828
112	5.151454723
113	5.142957141
114	5.13411154
115	5.125575562
116	5.118625134
117	5.111954288
118	5.104241414
119	5.099718143
120	5.095282362
121	5.089113108
122	5.081781347
123	5.07765149
124	5.068731139
125	5.063524198
126	5.059510964
127	5.053756766
128	5.04497833
129	5.036628707
130	5.03122476
131	5.021248535
132	5.014460142
133	5.008585233
134	5.001017555
135	4.991166701
136	4.986011176
137	4.97906555
138	4.974174114
139	4.968405178
140	4.964410923
141	4.960724358
142	4.955250275
143	4.94896902
144	4.942581039
145	4.935353779
146	4.932740387
147	4.929706219
148	4.925338939
149	4.918352042
150	4.914846019
151	4.911391255
152	4.908529832
153	4.902010749
154	4.895381417
155	4.889868385
156	4.883613328
157	4.878242972
158	4.875268311
159	4.867283106
160	4.860183029
161	4.854935078
162	4.847478931
163	4.843227748
164	4.836558359
165	4.833781659
166	4.828177722
167	4.82417313
168	4.818531778
169	4.814726584
170	4.813870528
171	4.808202227
172	4.800632533
173	4.796705934
174	4.789657034
175	4.785475762
176	4.781382716
177	4.779253514
178	4.77640994
179	4.771995741
180	4.766296845
181	4.759932763
182	4.753442756
183	4.751896943
184	4.747290628
185	4.743823426
186	4.740909523
187	4.73807455
188	4.736575271
189	4.732572343
190	4.725838041
191	4.720929546
192	4.715770321
193	4.710315477
194	4.702452294
195	4.695651712
196	4.692311107
197	4.690747749
198	4.684754839
199	4.680315394
200	4.678784751
201	4.674460026
202	4.668041371
203	4.66203703
204	4.658885827
205	4.656558944
206	4.653909453
207	4.64944436
208	4.647068968
209	4.643434125
210	4.640893192
211	4.637729154
212	4.634339923
213	4.630749314
214	4.628289699
215	4.620945309
216	4.618214533
217	4.614766584
218	4.610856233
219	4.60870104
220	4.60597781
221	4.600980631
222	4.598696532
223	4.592618713
224	4.588964221
225	4.584455198
226	4.581795006
227	4.581140597
228	4.578682211
229	4.576399906
230	4.57260488
231	4.567558576
232	4.565653143
233	4.559589743
234	4.557988084
235	4.55230099
236	4.551453969
237	4.546616562
238	4.542147291
239	4.540444367
240	4.539687964
241	4.539218796
242	4.535838552
243	4.530189917
244	4.529901903
245	4.524914182
246	4.519044556
247	4.517525027
248	4.515234028
249	4.513019152
250	4.511266467
251	4.506199651
252	4.505706712
253	4.500052306
254	4.498320645
255	4.494323881
256	4.492787305
257	4.490645614
258	4.48762789
259	4.486828474
260	4.485368038
261	4.484631223
262	4.478134806
263	4.477636827
264	4.473645664
265	4.472085629
266	4.464801356
267	4.463378207
268	4.4616531
269	4.458396957
270	4.454976615
271	4.450639138
272	4.450329824
273	4.45014259
274	4.446558603
275	4.442393041
276	4.439779347
277	4.436450507
278	4.428666337
279	4.423493724
280	4.421774204
281	4.418932358
282	4.417912976
283	4.412985264
284	4.412303617
285	4.410980832
286	4.40664875
287	4.404392939
288	4.399501591
289	4.391685782
290	4.387999783
291	4.383452778
292	4.379290753
293	4.378275478
294	4.377908081
295	4.373978965
296	4.373444717
297	4.367390885
298	4.366847075
299	4.361680284
300	4.354238567
301	4.350234835
302	4.345439503
303	4.341855539
304	4.337693109
305	4.333054937
306	4.331183581
307	4.325328719
308	4.321857237
309	4.318409323
310	4.316525946
311	4.316303047
312	4.310973877
313	4.305262202
314	4.300553915
315	4.298069081
316	4.297307186
317	4.289155172
318	4.285862696
319	4.282903398
320	4.278574239
321	4.277435318
322	4.272826753
323	4.268685231
324	4.267014141
325	4.262609667
326	4.259198431
327	4.256100686
328	4.253280117
329	4.252959728
330	4.251103845
331	4.248736398
332	4.243596298
333	4.239213056
334	4.236999505
335	4.23597692
336	4.230804863
337	4.22985338
338	4.225682208
339	4.219357529
340	4.219240618
341	4.211914378
342	4.207837158
343	4.203829126
344	4.198718784
345	4.194424145
346	4.188998286
347	4.183772225
348	4.17938165
349	4.174330993
350	4.169063911
351	4.164782678
352	4.164652211
353	4.15878574
354	4.155985695
355	4.150447754
356	4.149839896
357	4.146520367
358	4.141224831
359	4.134381445
360	4.129009232
361	4.128163245
362	4.123932833
363	4.120891829
364	4.120216133
365	4.116400146
366	4.114289842
367	4.110665749
368	4.105604025
369	4.103626766
370	4.09882088
371	4.098132267
372	4.097908781
373	4.094318954
374	4.091915949
375	4.091688061
376	4.087987175
377	4.087485499
378	4.084024111
379	4.080362309
380	4.077640631
381	4.07060217
382	4.065725116
383	4.063007042
384	4.06226405
385	4.059886035
386	4.057962725
387	4.054329171
388	4.051122578
389	4.047760295
390	4.041909777
391	4.038943503
392	4.038182854
393	4.03443352
394	4.033911074
395	4.029661496
396	4.029227081
397	4.024328566
398	4.019703002
399	4.016107981
400	4.011261266
401	4.009829806
402	4.009565655
403	4.007647668
404	4.004218174
405	4.004077824
406	3.999254737
407	3.998677973
408	3.998452977
409	3.993404268
410	3.989378762
411	3.988839625
412	3.98500097
413	3.981609995
414	3.980092992
415	3.978725026
416	3.972151117
417	3.969522242
418	3.963472708
419	3.957901802
420	3.955573473
421	3.952437068
422	3.944095992
423	3.94027033
424	3.936793863
425	3.935649645
426	3.933162754
427	3.928298363
428	3.925316635
429	3.923136739
430	3.92164129
431	3.916453601
432	3.913643483
433	3.910349783
434	3.910045383
435	3.90558012
436	3.903815128
437	3.896692053
438	3.890482643
439	3.890118274
440	3.888988786
441	3.886737542
442	3.884398682
443	3.882706392
444	3.877767473
445	3.87433716
446	3.872398632
447	3.866648222
448	3.859950196
449	3.856816086
450	3.853393465
451	3.848273915
452	3.845129324
453	3.843737538
454	3.841686489
455	3.83959282
456	3.836583097
457	3.83115361
458	3.826713273
459	3.824276146
460	3.822287956
461	3.81790137
462	3.814271663
463	3.811784585
464	3.809307109
465	3.806882196
466	3.806285348
467	3.803418357
468	3.801424617
469	3.798635078
470	3.798252945
471	3.792884123
472	3.787094758
473	3.783040257
