iter	Passed	Remaining
0	133	133333
1	134	66963
2	134	44815
3	135	33725
4	136	27073
5	136	22633
6	137	19466
7	137	17091
8	138	15243
9	140	13906
10	141	12704
11	141	11690
12	142	10827
13	143	10087
14	143	9445
15	144	8880
16	145	8393
17	146	7968
18	146	7579
19	147	7225
20	148	6904
21	148	6612
22	149	6345
23	150	6102
24	150	5875
25	151	5672
26	152	5480
27	152	5302
28	153	5133
29	153	4978
30	154	4832
31	155	4697
32	155	4567
33	156	4443
34	157	4331
35	157	4229
36	159	4144
37	159	4046
38	160	3953
39	160	3863
40	161	3778
41	162	3698
42	162	3622
43	163	3551
44	164	3483
45	164	3416
46	165	3355
47	166	3293
48	166	3234
49	167	3178
50	167	3123
51	168	3070
52	170	3045
53	171	3000
54	172	2957
55	172	2912
56	173	2869
57	174	2828
58	175	2792
59	176	2759
60	176	2723
61	177	2686
62	178	2650
63	178	2614
64	179	2579
65	179	2545
66	180	2514
67	181	2486
68	182	2457
69	183	2432
70	183	2405
71	184	2379
72	185	2352
73	185	2325
74	186	2299
75	186	2273
76	187	2252
77	188	2231
78	189	2208
79	190	2186
80	190	2164
81	191	2143
82	191	2119
83	192	2097
84	192	2076
85	193	2056
86	194	2039
87	195	2020
88	195	2004
89	196	1986
90	197	1969
91	197	1952
92	198	1935
93	199	1918
94	199	1901
95	201	1900
96	202	1885
97	203	1870
98	203	1855
99	204	1840
100	205	1825
101	205	1810
102	206	1797
103	207	1785
104	208	1773
105	208	1760
106	209	1747
107	209	1733
108	210	1720
109	211	1708
110	211	1696
111	212	1684
112	213	1673
113	213	1662
114	214	1652
115	215	1641
116	215	1629
117	216	1620
118	217	1609
119	217	1598
120	218	1587
121	219	1578
122	220	1569
123	220	1560
124	221	1550
125	222	1541
126	222	1531
127	223	1521
128	223	1512
129	224	1502
130	225	1494
131	226	1488
132	227	1480
133	227	1472
134	228	1464
135	229	1455
136	229	1447
137	230	1439
138	230	1430
139	232	1430
140	233	1423
141	234	1415
142	234	1407
143	235	1400
144	236	1392
145	236	1384
146	237	1377
147	238	1371
148	239	1365
149	239	1359
150	240	1353
151	241	1347
152	242	1340
153	242	1334
154	243	1327
155	244	1321
156	245	1315
157	245	1310
158	246	1303
159	247	1297
160	247	1289
161	248	1283
162	248	1276
163	249	1270
164	249	1264
165	250	1258
166	251	1253
167	251	1247
168	252	1242
169	253	1236
170	253	1231
171	254	1226
172	255	1220
173	255	1215
174	256	1209
175	258	1210
176	259	1206
177	260	1201
178	260	1195
179	261	1191
180	262	1186
181	263	1182
182	264	1178
183	264	1174
184	265	1169
185	266	1165
186	266	1160
187	267	1155
188	268	1150
189	268	1146
190	269	1142
191	270	1138
192	271	1134
193	272	1130
194	272	1126
195	273	1122
196	274	1117
197	274	1112
198	275	1107
199	276	1104
200	276	1099
201	277	1095
202	278	1091
203	278	1087
204	279	1083
205	280	1079
206	280	1075
207	281	1071
208	281	1066
209	282	1063
210	283	1059
211	284	1055
212	284	1051
213	285	1048
214	286	1044
215	286	1040
216	287	1036
217	287	1032
218	288	1028
219	289	1025
220	289	1021
221	290	1018
222	291	1014
223	291	1011
224	292	1007
225	293	1004
226	293	1000
227	294	996
228	295	993
229	295	990
230	296	987
231	297	984
232	297	980
233	298	977
234	299	974
235	300	971
236	300	967
237	301	964
238	302	961
239	302	958
240	303	955
241	303	951
242	304	948
243	305	945
244	305	942
245	306	938
246	306	935
247	307	932
248	308	929
249	308	926
250	309	923
251	310	920
252	310	917
253	311	914
254	312	911
255	312	908
256	313	905
257	314	903
258	314	900
259	315	898
260	316	895
261	317	893
262	317	890
263	318	887
264	319	884
265	319	882
266	321	882
267	322	880
268	322	877
269	323	875
270	324	872
271	325	869
272	325	866
273	326	864
274	327	862
275	327	859
276	328	857
277	329	855
278	329	852
279	330	849
280	331	847
281	331	844
282	332	842
283	333	839
284	334	837
285	334	835
286	335	833
287	335	830
288	336	828
289	337	825
290	337	822
291	338	820
292	338	817
293	339	815
294	340	813
295	340	810
296	341	808
297	342	805
298	342	803
299	343	801
300	343	798
301	344	796
302	345	794
303	345	792
304	346	789
305	347	787
306	347	785
307	348	782
308	349	780
309	349	778
310	350	776
311	350	773
312	351	771
313	354	774
314	355	772
315	355	770
316	356	768
317	357	766
318	357	764
319	358	762
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	363	750
326	363	748
327	364	746
328	365	745
329	365	742
330	366	740
331	367	738
332	367	736
333	368	734
334	369	732
335	369	730
336	370	728
337	371	726
338	371	724
339	372	722
340	372	720
341	373	718
342	374	716
343	374	714
344	375	712
345	375	710
346	376	708
347	377	706
348	377	704
349	378	702
350	378	700
351	379	698
352	380	696
353	380	694
354	381	692
355	381	690
356	382	688
357	383	687
358	384	685
359	384	683
360	385	681
361	385	680
362	386	678
363	387	676
364	387	674
365	388	672
366	388	670
367	389	669
368	390	667
369	391	666
370	391	664
371	392	662
372	393	661
373	393	659
374	394	657
375	395	655
376	395	653
377	396	652
378	397	650
379	397	648
380	398	647
381	398	645
382	399	643
383	400	641
384	400	640
385	401	638
386	402	636
387	402	635
388	403	633
389	403	631
390	404	630
391	405	628
392	405	626
393	406	625
394	407	623
395	407	622
396	408	620
397	409	619
398	410	617
399	410	616
400	411	614
401	412	613
402	412	611
403	413	610
404	414	608
405	415	607
406	415	605
407	416	604
408	417	602
409	417	601
410	418	599
411	419	597
412	419	596
413	420	594
414	421	593
415	421	592
416	422	590
417	423	589
418	423	587
419	424	586
420	425	584
421	425	583
422	426	581
423	427	580
424	428	579
425	428	577
426	429	576
427	430	575
428	431	573
429	431	572
430	432	570
431	432	569
432	433	567
433	434	566
434	435	565
435	436	564
436	436	562
437	437	561
438	438	560
439	438	558
440	439	557
441	443	560
442	444	559
443	445	557
444	446	556
445	447	555
446	448	554
447	448	553
448	449	551
449	450	550
450	450	548
451	451	547
452	452	545
453	453	544
454	453	543
455	454	542
456	455	541
457	456	540
458	457	538
459	457	537
460	458	535
461	459	534
462	459	533
463	460	531
464	461	530
465	461	529
466	462	527
467	463	526
468	463	525
469	464	523
470	465	522
471	465	520
472	466	519
473	467	518
474	467	516
475	468	515
476	468	514
477	469	512
